0|Star Trek|Name the Captain of the Enterprise|*Kirk|Spock|McCoy|Scotty|Originally the captain of the Enterprise was going to be Captain April
1|Star Trek|Name the Chief Engineer|Kirk|Spock|McCoy|*Scotty|Jimmy Dohan who played Mr. Scott had only 3 fingers on his left hand
2|Star Trek|Name the Ships Doctor|Kirk|Spock|*McCoy|Scotty|DeForest Kelley who played Dr. McCoy appeared in many TV Westerns
3|Star Trek|Name the First Officer|Kirk|*Spock|McCoy|Scotty|Leonard Nimoy who played Mr. Spock published 2 books: "I am not Spock" and "I am Spock"
4|Star Trek|Name the Enterprise Call Sign|USA-4-Sun|*NCC-1701|USS-ENT4|NX-00
5|Star Trek|Name the Shuttle Craft|Einstein|Edison|Hermes|*Galileo
6|Star Trek|Name the Communications Officer|*Uhura|Boma|Chekov|Rand|Uhura is Swahili for "Freedom"
7|Star Trek|Spock is from what planet?|Earth|*Vulcan|Romulus|Remus|In the series, the warlike Romulans are an offshoot of the Vulcan race 
8|Star Trek|What is Kirk's Middle Name?|Caesar|Claudius|*Tiberius|Timothy|Tiberius was the emperor of Rome during the life of Jesus Christ
9|Star Trek|What was the color of Kirk's Shirt|Red|*Green|Blue|White|It was in fact Yellow in the early episodes and changed later to green
10|Star Trek|What was the device used to beam down to the planet surface?|Transponder|Beamer|Materializer|*Transporter
11|Star Trek|What was the handheld device used to talk to the Enterprise?|*Communicator|Walkie Talkie|CyRadio|CB
12|Star Trek|How many episodes of Star Trek were made?|75|77|*79|81|Often disputed - the 79 episodes includes the two-part episode The Managerie as 2 episodes.
0|Mathematics|5+2=?|5|2|*7|Infinity
0|Mathematics|0*3=?|*0|3|9|The boy next door
0|Mathematics|1*8=?|1|*8|9|18
0|Mathematics|2+2=?|*4|2|22|two hundred twenty two
1|Mathematics|3*3=?|33|*9|3|6
1|Mathematics|2*4=?|2|4|*8|24
1|Mathematics|5*6=?|5|6|56|*30
1|Mathematics|4*8=?|*32|4|8|48
2|Mathematics|64/8=?|56|*8|6|4
2|Mathematics|121/11=?|12|13|*11|0
2|Mathematics|144/6=?|14|21|26|*24
2|Mathematics|143/11=?|*13|14|11|12
3|Mathematics|Square Root of 64|6|*8|4|32
3|Mathematics|Square Root of 121|12|21|*11|61
3|Mathematics|Square Root of 256|10|12|14|*16
3|Mathematics|Square Root of 2|*1.414|1|2|4
4|Mathematics|Fraction 1/2|0.33|*0.5|0.75|1.0
4|Mathematics|Fraction 1/3|*0.33|0.5|0.75|1.0
4|Mathematics|Fraction 3/4|0.33|0.5|*0.75|1.0
4|Mathematics|Fraction 1/1|0.33|0.5|0.75|*1.0
5|Mathematics|Fraction 1/4|*0.25|0.2|0.17|0.14
5|Mathematics|Fraction 1/5|0.25|*0.2|0.17|0.14
5|Mathematics|Fraction 1/6|0.25|0.2|*0.17|0.14
5|Mathematics|Fraction 1/7|0.25|0.2|0.17|*0.14
6|Mathematics|3.14159|e|*pi|Square root of two|g
6|Mathematics|2.71828|*e|pi|Square root of two|g
6|Mathematics|1.414|e|pi|*Square root of two|g
6|Mathematics|9.8m/s/s|e|pi|Square root of two|*g
7|Mathematics|The numbers which have no decimal part|*Integers|Real Numbers|Imaginary Numbers|Transcendental Number
7|Mathematics|The numbers which can be represented by fractions|Integers|*Rational Numbers|Imaginary Numbers|Transcendental Number
7|Mathematics|The numbers which are multiplied by the square root of -1|Integers|Real Numbers|*Imaginary Numbers|Transcendental Number
7|Mathematics|Pi is an example of ... |Integer|Real Number|Imaginary Number|*Transcendental Number
8|Mathematics|Two lines which share no points are|*Parallel|Intersecting|Tangent|Secant
8|Mathematics|Two lines which share one point are|Parallel|*Intersecting|Tangent|Secant
8|Mathematics|A line that intersects a circle at one point is|Parallel|Intersecting|*Tangent|Secant
8|Mathematics|A line that intersects a circle in two points is|Parallel|Intersecting|Tangent|*Secant
9|Mathemetics|It defines a position in space|*Point|Line|Plane|Space
9|Mathemetics|It contains at least two points|Point|*Line|Plane|Space
9|Mathemetics|It contains at least three points not all in one line|Point|Line|*Plane|Space
9|Mathemetics|It contains at least four points not all in one plane|Point|Line|Plane|*Space
10|Mathematics|When two triangles are exactly the same they are considered|*Congruent|Right|Obtuse|Acute
10|Mathematics|When one angle of a triangle is 90 degrees it is called|Congruent|*Right|Obtuse|Acute
10|Mathematics|When one angle of a triangle is greater than 90 degrees it is called|Congruent|Right|*Obtuse|Acute
10|Mathematics|When all three angles of a triangle are less than 90 degrees it is called|Congruent|Right|Obtuse|*Acute
11|Mathematics|Area of a square|*s^2|pi*r^2|1/2*b*h|w*h
11|Mathematics|Area of a circle|s^2|*pi*r^2|1/2*b*h|w*h
11|Mathematics|Area of a triangle|s^2|pi*r^2|*1/2*b*h|w*h
11|Mathematics|Area of a rectangle|s^2|pi*r^2|1/2/*b*h|*w*h
12|Mathematics|Volume of a cube|*s^3|pi*r^2*h|1/3*pi*r^2*h|4/3*pi*r^3
12|Mathematics|Volume of a cylander|s^3|*pi*r^2*h|1/3*pi*r^2*h|4/3*pi*r^3
12|Mathematics|Volume of a cone|s^3|pi*r^2*h|*1/3*pi*r^2*h|4/3/*pi*r^3
12|Mathematics|Volume of a sphere|s^3|pi*r^2*h|1/3*pi*r^2*h|*4/3/pi*r^3
12|Mathematics|He said "I think therefore I am."|Einstein|*Descartes|Plato|Homer
0|Classic TV|She starred in 'I Love Lucy'|Lucinda Magilacuttie|Florence Henderson|Lucy Ricardo|*Lucille Ball
0|Classic TV|How many kids were in 'The Brady Bunch'?|9|8|*6|3
0|Classic TV|How many were stranded on 'Gilligan's Island'?|*7|6|8|9
